date_debut_phase;date_fin_prevue_phase;date_fin_reelle_phase;budget_phase;statut_phase;observations;id_projet;id_phase
23/09/2025;07/11/2025;07/11/2025;7600000;Terminée;;27;3
08/11/2025;07/04/2026;;7600000;En cours;;27;4
08/04/2026;23/04/2026;;7600000;Non démarrée;;27;5
07/01/2026;06/02/2026;;56000000;Non démarrée;;28;1
07/02/2026;08/04/2026;;56000000;Non démarrée;;28;2
09/04/2026;24/05/2026;;56000000;Non démarrée;;28;3
25/05/2026;22/10/2026;;56000000;Non démarrée;;28;4
23/10/2026;07/11/2026;;56000000;Non démarrée;;28;5
14/01/2026;13/02/2026;;17000000;Non démarrée;;29;1
14/02/2026;15/04/2026;;17000000;Non démarrée;;29;2
16/04/2026;31/05/2026;;17000000;Non démarrée;;29;3
01/06/2026;29/10/2026;;17000000;Non démarrée;;29;4
30/10/2026;14/11/2026;;17000000;Non démarrée;;29;5
21/01/2026;20/02/2026;;9000000;Non démarrée;;30;1
21/02/2026;22/04/2026;;9000000;Non démarrée;;30;2
23/04/2026;07/06/2026;;9000000;Non démarrée;;30;3
08/06/2026;05/11/2026;;9000000;Non démarrée;;30;4
06/11/2026;21/11/2026;;9000000;Non démarrée;;30;5
